ASIN,Brand,Title,Category,BuyBox,#,Fulfillment ,Price,FBA fee,Sales,Revenue,BSR,Rating,Review Count,Review Velocity,Dimensions,Weight,Size Tier,Images,Listing Creation Date,,
"B08BZS4P9Y","($) Xtansuo","($) Women’s Cargo Hiking Pants Lightweight Water Resistant Drawstring Outdoor Performance UPF 50+ Athletic Joggers Zipper Pockets","($) Sports & Outdoors","($) Xtansuo Sports & Outdoor","1","FBA","28.99","8.00","135","3,913.65","18,882","5","1","0","10.0x11.6x1.4","0.02","Large Standard-Size","7","08/25/2020",,
"B07XDNWQHJ","($) Kyopp","($) Kyopp Women's 25' / 28' High Waist Yoga Pants Tummy Control Workout Running 4 Way Stretch Yoga Leggings","($) Sports & Outdoors","($) TANGQIUS","1","FBA","19.88","7.00","157","3,121.16","22,020","4.5","554","19","8.0x10.6x1.5","0.5","Large Standard-Size","6","01/17/2020",,
"1682815781","Visit Amazon's Tracy Wolff Page","Crush (Crave, 2)","Books","Amazon","1","AMZ","15.19","9.50","877","13,321.63","282","5","6","0","6.2x8.4x2.2","1.64","Large Standard-Size","1","n/a",,
"B07WC9N8GB","SZLTZK","SZLTZK Dinosaur 3D Illusion Lamp for Boy Dinosaur Lamp 16 Colors with Remote Control Smart Touch Night Light Best Christmas Birthday Gift for Boy Girl Kids Age 5 4 3 1 6 2 7 8 9 10 11 Years Old","Baby","XTWW","1","FBA","15.99","5.99","362","5,788.38","4,147","4.5","130","29","7.5x8.0x2.0","0.5","Large Standard-Size","6","n/a",,
"0345535529","Visit Amazon's George R. R. Martin Page","A Game of Thrones / A Clash of Kings / A Storm of Swords / A Feast of Crows / A Dance with Dragons","Books","Amazon","45","AMZ","30.13","12.00","1,045","31,485.85","1,604","4.5","19,834","1224","6.7x8.3x4.1","5.05","Large Standard-Size","8","n/a",,
"B00O92WHX8","Robert Dugoni","My Sister's Grave: Tracy Crosswhite, Book 1","Unknown","N/A","1","N/A","25.99","0.00",,,"434","4.5","18,512","116","n/a","n/a","n/a","1","n/a",,
"B07NSJZWY5","Ann Patchett","The Dutch House: A Novel","Unknown","N/A","n/a","N/A","26.94","0.00",,,"84","4.5","8,560","1850","n/a","n/a","n/a","1","n/a",,
"B07T8C3RT3","Diane Chamberlain","Big Lies in a Small Town: A Novel","Unknown","N/A","n/a","N/A","27.55","0.00",,,"936","4.5","1,374","269","n/a","n/a","n/a","1","n/a",,
"B072TN1NF2","Visit Amazon's Charles Martin Page","Send Down the Rain: New from the author of The Mountains Between Us and the New York Times bestseller Where the River Ends","Kindle Store","N/A","1","N/A","9.99","0.00",,,"18,309","4.5","1,024","0","n/a","n/a","n/a","1","n/a",,
"B07T8S5QL4","Visit Amazon's Chris Bohjalian Page","The Red Lotus: A Novel","Kindle Store","N/A","n/a","N/A","13.99","0.00",,,"12,841","4.5","586","0","n/a","n/a","n/a",,"n/a",,
"B07SZ9LM1C","($) BabyBrite","($) Baby Car Mirror with Light (for Driving at Night) & FOB Control | Improved Longer Lasting Battery Life | Backseat Rear View Baby Mirror by Baby Bright | Shatter-Proof, Fully Assembled","($) Baby","($) JHS ENTERPRISES","1","FBA","24.99","9.17","144","3,598.56","13,206","3.5","326","65","9.5x11.5x3.4","1.3","Large Standard-Size","6","n/a",,
"B081KHK72J","($) N/A","($) St. Tropez Self Tan Purity Bronzing Water Face Mist, 2.7 Fl Oz","($) Beauty & Personal Care","($) Amazon","1","AMZ","25.50","7.00","1,536","39,168.00","4,170","4.5","1,161","119","1.4x5.6x1.4","0.3","Large Standard-Size","6","n/a",,
"B07PZCQLJY","Selieve","Selieve Toys for 3-12 Year Old Boys, Walkie Talkies for Kids 22 Channels 2 Way Radio Toy with Backlit LCD Flashlight, 3 Miles Range for Outside, Camping, Hiking","Toys & Games","Henoda","3","FBA","23.99","6.00","22,438","538,287.62","102","4.5","3,801","996","3.0x5.9x2.4","0.31","Large Standard-Size","6","n/a",,
"B07QGR5S23","Visit Amazon's Pamela M. Kelley Page","The Nantucket Inn (Nantucket Beach Plum Cove series Book 1)","Kindle Store","N/A","n/a","N/A","3.99","0.00",,,"1,096","4.5","3,162","0","n/a","n/a","n/a","1","n/a",,
"B08JWPGPCR","simoo ART","The Comfort Food Cookbook: Cozy Recipes Free of Gluten and Refined Sugar: A Gluten Free Cookbook","Books","N/A","n/a","N/A",,"0.00",,,"173,347","0","0","n/a","n/a",,"n/a",,"n/a",,
"B07ZV1BCC4","Visit Amazon's Natalie Barelli Page","The Housekeeper: A twisted psychological thriller","Kindle Store","N/A","n/a","N/A","3.99","0.00",,,"1,231","4.5","2,589","0","n/a","n/a","n/a",,"n/a",,
"B00N56U4WU","Amazon Renewed","SanDisk Clip Sport 8GB MP3 Player with LCD Screen and MicroSDHC Card Slot- Black - SDMX24-008G-G46K (Renewed)","Electronics","i-Tech Mall","1","FBA","31.99","5.00","62","1,983.38","39,840","3.5","392","2","3.0x5.6x2.1","0.25","Large Standard-Size","1","08/29/2014",,
"B083B119VV","Move2Play","Move2Play Motown Magic Bluetooth Karaoke Microphone, Pink, for Girls, for 4 5 6 7 8 Year Old Girls, Pink Mic","Unknown","Move2Play","1","FBA","29.99","9.00",,,"357","4.5","1,178","0","3.7x10.2x3.5","0.97","Large Standard-Size","6","02/20/2020",,
"B07RTTDCBR","Visit Amazon's Lisa Gardner Page","When You See Me: A Novel (D.D. Warren Book 11)","Kindle Store","N/A","n/a","N/A","11.99","0.00",,,"12,123","4.5","1,391","0","n/a","n/a","n/a",,"n/a",,
"B085CD34JN","($) Neleus","($) Neleus Women's Yoga Pant Running Workout Leggings with Pocket Tummy Control High Waist","($) Sports & Outdoors","($) Neleus","1","FBA","26.89","10.52","1,799","48,375.11","2,133","4.5","2,946","102","8.9x10.4x2.8","1.1","Large Standard-Size","7","11/20/2018",,
"B088FS59LH","($) BALEAF","($) BALEAF Women's High Waisted Yoga Capris w Side Pockets Cropped Leggings Workout Capris Pants","($) Sports & Outdoors","($) Baleaf Sports","1","FBA","20.99","7.00","746","15,658.54","5,531","4.5","474","172","7.6x8.9x1.5","0.54","Large Standard-Size","6","06/25/2020",,
"B08BZT2436","($) Xtansuo","($) Women’s Cargo Hiking Pants Lightweight Water Resistant Drawstring Outdoor Performance UPF 50+ Athletic Joggers Zipper Pockets","($) Sports & Outdoors","($) Xtansuo Sports & Outdoor","n/a","N/A","28.99","0.00",,,"18,882","5","1","n/a","n/a",,"n/a",,"08/25/2020",,
"B084HP2FZD","($) MobileDemand","($) MobileDemand Flex 10B Rugged Touchscreen Tablet | Ultra Lightweight | 10.1-in Display | Windows 10 Pro | MIL-STD-810G |3000mAh Battery| Quad Core Celeron N4100 for Enterprise Mobile Field Work","($) Electronics","($) MobileDemand, LC","2","FBA","595.00","41.23","55","32,725.00","19,023","5","10","7","9.0x15.1x2.9","3.4","Large Standard-Size","5","02/05/2020",,
"B07RTTDCBR","Visit Amazon's Lisa Gardner Page","When You See Me: A Novel (D.D. Warren Book 11)","Kindle Store","N/A","n/a","N/A","11.99","0.00",,,"12,123","4.5","1,391","0","n/a","n/a","n/a",,"n/a",,
"B00GGL6PKG","Bali","Bali Women's Comfort Revolution Shaping Wirefree Bra","Clothing, Shoes & Jewelry","Amazon","15","AMZ","23.41","8.00","5,408","126,601.28","1,301","4.5","7,120","1016","9.0x9.0x2.4","0.2","Large Standard-Size","7","09/02/2014",,
"B07S1K42R2","Visit Amazon's Simone St. James Page","The Sun Down Motel","Kindle Store","N/A","n/a","N/A","13.99","0.00",,,"2,507","4.5","1,287","0","n/a","n/a","n/a","1","n/a",,
"B08JPMBD3N","Cara Gubbins","Launch Your Kindle Bestseller: How to Write, Publish and Market a Bestselling Book on Amazon (Even if you’ve never published a book before and you don’t ... Publishing Secrets for Indie Authors 1)","Kindle Store","N/A","n/a","N/A",,"0.00",,,"48,303","5","2","n/a","n/a",,"n/a",,"n/a",,
"B07NJCG1XS","Malcolm Gladwell","Talking to Strangers: What We Should Know About the People We Don't Know","Unknown","N/A","n/a","N/A","26.94","0.00",,,"46","4.5","6,058","939","4.5x7.1x1.1","0.37","Large Standard-Size","1","n/a",,
"1538711796","Visit Amazon's David Baldacci Page","The Winner","Books","Amazon","20","AMZ","12.78","8.00","695","8,882.10","4,428","4.5","4,049","442","5.2x8.0x1.6","0.95","Large Standard-Size","2","n/a",,
"0399185046","Visit Amazon's Dalai Lama Page","The Book of Joy: Lasting Happiness in a Changing World","Books","Amazon","55","AMZ","15.05","8.00","1,685","25,359.25","922","5","3,664","511","6.0x8.0x1.0","1","Large Standard-Size","5","n/a",,
"B08GJV2MJL","($) SouqFone","($) SouqFone Women High Waist Yoga Pants with Pockets 4 Ways Stretch Workout Leggings","($) Sports & Outdoors","($) SouqFone","2","FBA","25.99","8.00","469","12,189.31","3,812","4.5","56","7","6.2x10.4x1.7","0.55","Large Standard-Size","5","08/23/2020",,
"B06X9DXBT2","($) Milliard","($) Milliard Premium Memory Foam Hypoallergenic Infant Crib Mattress and Toddler Bed Mattress with Waterproof Bamboo Cover, Flip Dual Stage System - 27.5 inches x 52 inches x 5.5 inches","($) Baby","($) Home Wise","6","FBA","89.99","28.00","826","74,331.74","1,278","5","1,587","0","10.3x30.3x8.7","9.96","Small Oversize","8","02/23/2017",,
"B07MHSNPSG","James Patterson","The First Lady","Unknown","N/A","n/a","N/A","25.94","0.00",,,"2,154","4.5","2,141","283","n/a","n/a","n/a","1","n/a",,
