ASIN,Brand,Title,Category,BuyBox,#,Fulfillment ,Price,FBA fee,Sales,Revenue,BSR,Rating,Review Count,Review Velocity,Dimensions,Weight,Size Tier,Images,Listing Creation Date,,
"B084HP6FCS","($) MobileDemand","($) MobileDemand Flex 10B Rugged Touchscreen Tablet w/Keyboard | Ultra Lightweight | 10.1-in Display | Windows 10 Pro | MIL-STD-810G |3000mAh Battery| Quad Core for Enterprise Mobile Field Work","($) Electronics","($) MobileDemand, LC","2","FBA","665.00","45.32","26","17,290.00","28,130","3.5","9","4","9.0x15.7x2.9","4.55","Large Standard-Size","4","02/05/2020",,
"B079NZGW3M","($) Marpac","($) Yogasleep Whish White Noise Sound Machine | 16 Natural Nature & Soothing Sounds with Volume Control | Travel, Office Privacy, Sleep Therapy, Concentration | For Adults & Baby","($) Health & Household","($) Amazon","6","AMZ","39.95","10.00","296","11,825.20","22,843","4.5","821","25","6.2x6.8x3.6","1.3","Large Standard-Size","9","01/19/2018",,
"B004Y18G2A","Guerande","Millenaire Fleur De Sel De Guerande Sea Salt 2.2 Lbs (1 Kg)","Grocery & Gourmet Food","N/A","8","FBA","19.99","9.00","165","3,298.35","26,192","5","87","3","7.0x9.5x6.5","2.53","Large Standard-Size","1","n/a",,
"B081Y3TT9C","Visit Amazon's Jasmine Guillory Page","Party of Two","Kindle Store","N/A","n/a","N/A","11.99","0.00",,,"3,863","4.5","989","0","n/a","n/a","n/a",,"n/a",,
"B07W197T5J","AmazonBasics","AmazonBasics 3.2 Quart Compact Multi-Functional Air Fryer","Unknown","Amazon","1","AMZ","57.24","27.00",,,,"4.5","673","171","16.0x18.0x14.1","14.15","Small Oversize","6","01/27/2020",,
"B07X1VXQMS","Ultrean","Ultrean 5.8 Quart Air Fryer, Electric Hot Air Fryers Oilless Cooker with 10 Presets, Digital LCD Touch Screen, Nonstick Basket, 1700W, UL Listed (Black)","Kitchen & Dining","BAISELLER","1","FBA","79.99","29.00","121","9,678.79","11,279","4.5","1,496","246","14.4x16.6x14.0","14.05","Small Oversize","7","08/27/2019",,
"1674844468","Visit Amazon's Jenson William Page","Air Fryer Cookbook: 600 Effortless Air Fryer Recipes for Beginners and Advanced Users","Books","Amazon","4","AMZ","10.90","8.00","3,977","43,349.30","219","4.5","3,404","856","8.3x11.0x0.5","1.25","Large Standard-Size","2","n/a",,
"B007XG6B2K","Needzo","Religious Gifts Saint Joseph Statue Home Seller Kit with Prayer Card and Instructions","Home & Kitchen","Movement Brands","4","FBA","6.29","3.00","4,606","28,971.74","2,387","4.5","4,631","598","3.0x4.3x0.5","0.05","Small Standard-Size","7","n/a",,
"0738285676","Visit Amazon's Pamela Salzman Page","Pamela Salzman's Quicker Than Quick: 140 Crave-Worthy Recipes for Healthy Comfort Foods in 30 Minutes or Less","Books","Amazon","22","AMZ","22.45","10.59","313","7,026.85","10,259","5","239","15","7.6x9.6x1.2","2.5","Large Standard-Size","1","n/a",,
"B08KDP1ZC1","Visit Amazon's Patricia Vandenberg Page","Dr. Norden Bestseller Classic 67 – Arztroman: Wer kann Andrea helfen? (German Edition)","Kindle Store","N/A","n/a","N/A",,"0.00",,,,"0","0","n/a","n/a",,"n/a",,"n/a",,
"B07QGJQ775","($) VAVA","($) Baby Monitor, VAVA 720P 5' HD Display Video Baby Monitor with Camera and Audio, IPS Screen, 900ft Range, 4500 mAh Battery, Two-Way Audio, One-Click Zoom, Night Vision and Thermal Monitor","($) Electronics","($) Amazon","3","AMZ","149.99","29.00","5,103","765,398.97","935","4.5","5,480","835","10.8x13.6x5.4","2.3","Large Standard-Size","7","n/a",,
"B07T9Y3P46","($) Hide N Side","($) Baby Gift Set - Cloth Soft Crinkle Baby Book & Ball Soft Teething Educational Toys, Infant Newborn Toddler Baby Girls Boys 6 to 12 Month, 1 Year Old, Tummy Time, Best Baby Shower Gift Christmas Gift","($) Baby","($) Hide-n-Side","1","FBA","12.99","5.00","569","7,391.31","3,501","4.5","385","63","6.7x6.8x4.7","0.35","Large Standard-Size","7","n/a",,
