ASIN,Brand,Title,Category,BuyBox,#,Fulfillment ,Price,FBA fee,Sales,Revenue,BSR,Rating,Review Count,Review Velocity,Dimensions,Weight,Size Tier,Images,Listing Creation Date,,
"B07RXXXWDL","($) LANCS","($) Lancs Stretch Mark Prevention Treatment Cream for Pregnancy | Maternity Belly Old or New Scars Dark Spot Remover Daily Moisturizer Body Lotion | All-Natural Organic Skin Care Formulation","($) Beauty & Personal Care","($) LANCS","1","FBA","33.99","8.38","7","237.93","270,765","4.5","43","3","2.2x6.3x1.4","0.6","Large Standard-Size","6","n/a",,
"B07GS7D1VV","($) OurWarm","($) OurWarm Cotton Burlap Buffalo Plaid Table Runner, Christmas Reversible Red and Black Checkered Table Runners for Holiday Christmas Table Decorations, 14 x 72 Inch","($) Kitchen & Dining","($) Ourwarm","1","FBA","11.99","6.00","17","203.83","46,542","5","310","24","11.0x15.4x1.2","0.65","Large Standard-Size","7","n/a",,
"B07M5SND5Z","Visit Amazon's Kerry Fisher Page","The Woman I Was Before: A gripping emotional page turner with a twist","Kindle Store","N/A","n/a","N/A","3.99","0.00",,,"4,418","4.5","1,898","0","n/a","n/a","n/a","1","n/a",,
"B07CWSPSMX","Visit Amazon's Glendy Vanderah Page","Where the Forest Meets the Stars","Kindle Store","N/A","1","N/A","4.99","0.00",,,"221","4.5","11,967","0","n/a","n/a","n/a","1","n/a",,
"B08BK88CS1","Visit Amazon's Kiersten  Modglin Page","The Liar's Wife","Kindle Store","N/A","n/a","N/A","5.99","0.00",,,"478","4.5","176","0","n/a","n/a","n/a",,"n/a",,
"1476794057","Visit Amazon's Denise Kiernan Page","The Last Castle: The Epic Story of Love, Loss, and American Royalty in the Nation's Largest Home","Books","Amazon","28","AMZ","10.74","8.17","794","8,527.56","2,906","4.5","1,022","99","5.8x8.9x1.3","0.8","Large Standard-Size","2","n/a",,
"B07G96R4K8","CS CELERSPORT","CelerSport Ankle Athletic Running Socks Low Cut Sports Tab Socks for Men and Women (6 Pairs)","Sports & Outdoors","CelerSport","1","FBA","15.95","6.52","11,914","190,028.30","103","5","10,481","1985","10.0x10.0x2.1","0.6","Large Standard-Size","7","08/08/2018",,
"1250153964","Visit Amazon's Bryn Greenwood Page","All the Ugly and Wonderful Things: A Novel","Books","Amazon","26","AMZ","8.59","7.85","1,344","11,544.96","1,209","4.5","3,762","348","5.5x8.2x1.3","0.8","Large Standard-Size","2","n/a",,
"B07BC5BR4D","Visit Amazon's Susan May Page","Best Seller","Kindle Store","N/A","1","N/A","2.99","0.00",,,"17,535","4","735","0","n/a","n/a","n/a","1","n/a",,
"B07P9ZS9PY","Ravmix","Ravmix 100% Pure Natural Mulberry Silk Pillowcase for Hair and Skin King Size, 21 Momme 600TC Hypoallergenic Both Sides Soft Breathable with Hidden Zipper, 20×36 inches, 1PCS, Beige","Home & Kitchen","Ravmix","1","FBA","31.99","7.00","29,657","948,727.43","245","4.5","10,641","1856","7.1x8.3x0.7","0.25","Small Standard-Size","7","n/a",,
"B08BZVDJJR","($) Xtansuo","($) Women’s Cargo Hiking Pants Lightweight Water Resistant Drawstring Outdoor Performance UPF 50+ Athletic Joggers Zipper Pockets","($) Sports & Outdoors","($) Xtansuo Sports & Outdoor","1","FBA","28.99","8.00","135","3,913.65","17,909","5","1","0","10.0x11.6x1.4","0.54","Large Standard-Size","7","08/25/2020",,
