ASIN,Brand,Title,Category,BuyBox,#,Fulfillment ,Price,FBA fee,Sales,Revenue,BSR,Rating,Review Count,Review Velocity,Dimensions,Weight,Size Tier,Images,Listing Creation Date,,
"B08BZT2436","($) Xtansuo","($) Women’s Cargo Hiking Pants Lightweight Water Resistant Drawstring Outdoor Performance UPF 50+ Athletic Joggers Zipper Pockets","($) Sports & Outdoors","($) Xtansuo Sports & Outdoor","n/a","N/A","28.99","0.00",,,"18,882","5","1","n/a","n/a",,"n/a",,"08/25/2020",,
"B084HP2FZD","($) MobileDemand","($) MobileDemand Flex 10B Rugged Touchscreen Tablet | Ultra Lightweight | 10.1-in Display | Windows 10 Pro | MIL-STD-810G |3000mAh Battery| Quad Core Celeron N4100 for Enterprise Mobile Field Work","($) Electronics","($) MobileDemand, LC","2","FBA","595.00","41.23","55","32,725.00","19,023","5","10","7","9.0x15.1x2.9","3.4","Large Standard-Size","5","02/05/2020",,
"B07RTTDCBR","Visit Amazon's Lisa Gardner Page","When You See Me: A Novel (D.D. Warren Book 11)","Kindle Store","N/A","n/a","N/A","11.99","0.00",,,"12,123","4.5","1,391","0","n/a","n/a","n/a",,"n/a",,
"B00GGL6PKG","Bali","Bali Women's Comfort Revolution Shaping Wirefree Bra","Clothing, Shoes & Jewelry","Amazon","15","AMZ","23.41","8.00","5,408","126,601.28","1,301","4.5","7,120","1016","9.0x9.0x2.4","0.2","Large Standard-Size","7","09/02/2014",,
"B07S1K42R2","Visit Amazon's Simone St. James Page","The Sun Down Motel","Kindle Store","N/A","n/a","N/A","13.99","0.00",,,"2,507","4.5","1,287","0","n/a","n/a","n/a","1","n/a",,
"B08JPMBD3N","Cara Gubbins","Launch Your Kindle Bestseller: How to Write, Publish and Market a Bestselling Book on Amazon (Even if you’ve never published a book before and you don’t ... Publishing Secrets for Indie Authors 1)","Kindle Store","N/A","n/a","N/A",,"0.00",,,"48,303","5","2","n/a","n/a",,"n/a",,"n/a",,
"B07NJCG1XS","Malcolm Gladwell","Talking to Strangers: What We Should Know About the People We Don't Know","Unknown","N/A","n/a","N/A","26.94","0.00",,,"46","4.5","6,058","939","4.5x7.1x1.1","0.37","Large Standard-Size","1","n/a",,
"1538711796","Visit Amazon's David Baldacci Page","The Winner","Books","Amazon","20","AMZ","12.78","8.00","695","8,882.10","4,428","4.5","4,049","442","5.2x8.0x1.6","0.95","Large Standard-Size","2","n/a",,
"0399185046","Visit Amazon's Dalai Lama Page","The Book of Joy: Lasting Happiness in a Changing World","Books","Amazon","55","AMZ","15.05","8.00","1,685","25,359.25","922","5","3,664","511","6.0x8.0x1.0","1","Large Standard-Size","5","n/a",,
"B08GJV2MJL","($) SouqFone","($) SouqFone Women High Waist Yoga Pants with Pockets 4 Ways Stretch Workout Leggings","($) Sports & Outdoors","($) SouqFone","2","FBA","25.99","8.00","469","12,189.31","3,812","4.5","56","7","6.2x10.4x1.7","0.55","Large Standard-Size","5","08/23/2020",,
"B06X9DXBT2","($) Milliard","($) Milliard Premium Memory Foam Hypoallergenic Infant Crib Mattress and Toddler Bed Mattress with Waterproof Bamboo Cover, Flip Dual Stage System - 27.5 inches x 52 inches x 5.5 inches","($) Baby","($) Home Wise","6","FBA","89.99","28.00","826","74,331.74","1,278","5","1,587","0","10.3x30.3x8.7","9.96","Small Oversize","8","02/23/2017",,
"B07MHSNPSG","James Patterson","The First Lady","Unknown","N/A","n/a","N/A","25.94","0.00",,,"2,154","4.5","2,141","283","n/a","n/a","n/a","1","n/a",,
"B08911Q258","Learning Bugs","Learning Bugs Interactive ABC & 123s Talking Poster & Musical Wall Chart, Best Educational Toy for 2 Year olds and 3 Year olds. Electronic Toddler Toys for Boys & Girls.","Toys & Games","LEARNING BUGS","1","FBA","28.98","7.00","34","985.32","8,990","0","0","0","7.9x17.8x1.9","0.75","Large Standard-Size","7","n/a",,
"0385348711","Visit Amazon's Erik Larson Page","The Splendid and the Vile: A Saga of Churchill, Family, and Defiance During the Blitz","Books","Amazon","36","AMZ","19.20","10.10","4,436","85,171.20","233","4.5","6,856","1464","6.4x9.3x1.7","1.95","Large Standard-Size","1","n/a",,
"1653381612","Visit Amazon's Tim Tigner Page","The Price of Time","Books","Amazon","3","AMZ","15.29","8.00","284","4,342.36","14,417","4","2,744","131","6.1x9.1x2.2","1.14","Large Standard-Size","2","n/a",,
"B083B119VV","Move2Play","Move2Play Motown Magic Bluetooth Karaoke Microphone, Pink, for Girls, for 4 5 6 7 8 Year Old Girls, Pink Mic","Unknown","Move2Play","1","FBA","29.99","9.00",,,"357","4.5","1,178","0","3.7x10.2x3.5","0.97","Large Standard-Size","6","02/20/2020",,
"B07ZC727WV","Visit Amazon's Lisa Wingate Page","The Book of Lost Friends: A Novel","Kindle Store","N/A","n/a","N/A","13.99","0.00",,,"661","4.5","2,576","0","n/a","n/a","n/a","1","n/a",,
"B08KDP1ZC1","Visit Amazon's Patricia Vandenberg Page","Dr. Norden Bestseller Classic 67 – Arztroman: Wer kann Andrea helfen? (German Edition)","Kindle Store","N/A","n/a","N/A",,"0.00",,,,"0","0","n/a","n/a",,"n/a",,"n/a",,
"B081Y3TT9C","Visit Amazon's Jasmine Guillory Page","Party of Two","Kindle Store","N/A","n/a","N/A","11.99","0.00",,,"3,863","4.5","989","0","n/a","n/a","n/a",,"n/a",,
"B07H8DYJ77","($) Neleus","($) Neleus Women's Yoga Pant Running Workout Leggings with Pocket Tummy Control High Waist","($) Sports & Outdoors","($) Neleus","1","FBA","26.89","10.52","1,799","48,375.11","2,133","4.5","2,945","485","10.8x11.3x2.5","1.11","Large Standard-Size","7","11/20/2018",,
"B07RFJZTG7","($) Neleus","($) Neleus High Waist Running Workout Leggings for Yoga with Pockets","($) Sports & Outdoors","($) Neleus","1","FBA","37.95","11.80","1,657","62,883.15","2,067","4","5,831","337","7.0x9.8x2.9","1.2","Large Standard-Size","7","11/04/2017",,
