ASIN,Brand,Title,Category,BuyBox,#,Fulfillment ,Price,FBA fee,Sales,Revenue,BSR,Rating,Review Count,Review Velocity,Dimensions,Weight,Size Tier,Images,Listing Creation Date,,
"B0787QZTWZ","($) Axvue","($) Video Baby Monitor 2 Cameras, Large Vertical Screen, Comfort-Designed Handheld, 1000ft Range, Secure Wireless Technology, Auto Ninght Vision Cam, Temperaure Alert.","($) Baby","($) AXVUE","1","FBA","69.99","15.00","324","22,676.76","4,739","4","843","147","5.5x6.3x3.7","1.4","Large Standard-Size","6","n/a",,
"B082QKPY3Y","($) DASH","($) Dash DCAF250GBRD02 AirCrisp Pro Electric Air Fryer + Oven Cooker with Temperature Control, Non Stick Fry Basket, Recipe Guide + Auto Shut Off Feature, 2qt, Red","($) Kitchen & Dining","($) Amazon","1","AMZ","48.94","19.00","889","43,507.66","2,903","4.5","2,180","768","10.1x13.9x9.9","7.4","Small Oversize","6","12/13/2019",,
"1101904216","Visit Amazon's Ben Macintyre Page","The Spy and the Traitor: The Greatest Espionage Story of the Cold War","Books","Amazon","24","AMZ","14.89","7.00","1,215","18,091.35","1,977","4.5","4,377","811","5.0x7.7x0.9","0.73","Large Standard-Size","1","n/a",,
"B07WSFQHSX","Lucy Foley","The Guest List: A Novel","Unknown","N/A","n/a","N/A","26.94","0.00",,,"26","4.5","7,037","3547","n/a","n/a","n/a","1","n/a",,
"0718084225","Visit Amazon's Lauren K. Denton Page","The Hideaway","Books","Amazon","28","AMZ","9.49","6.70","1,205","11,435.45","2,330","4.5","5,456","467","5.4x8.3x1.0","0.66","Large Standard-Size","6","n/a",,
"B086MBSPDK","Visit Amazon's Michael C. Grumley Page","The Last Monument","Kindle Store","N/A","n/a","N/A","6.99","0.00",,,"341","4.5","1,700","0","n/a","n/a","n/a","1","n/a",,
"B07NKP3JL4","Visit Amazon's Jojo Moyes Page","The Giver of Stars: A Novel","Kindle Store","N/A","n/a","N/A","13.99","0.00",,,"251","4.5","11,710","0","n/a","n/a","n/a","1","n/a",,
"1250301696","Visit Amazon's Alex Michaelides Page","The Silent Patient","Books","Amazon","71","AMZ","14.79","8.92","5,803","85,826.37","105","4.5","28,274","6632","5.5x9.5x1.5","1.17","Large Standard-Size","2","n/a",,
"B0030AOBSO","Visit Amazon's Harlan Coben Page","Caught","Kindle Store","N/A","1","N/A","9.99","0.00",,,"7,833","4.5","2,597","0","n/a","n/a","n/a","1","n/a",,
"B07MYLK9FP","Visit Amazon's John Grisham Page","The Guardians: A Novel","Kindle Store","N/A","n/a","N/A","9.99","0.00",,,"529","4.5","13,794","0","1.0x1.0x1.0","n/a","n/a",,"n/a",,
"B00YTWEMUO","($) Playskool","($) Playskool Sit ‘n Spin Classic Spinning Activity Toy for Toddlers Ages Over 18 Months (Amazon Exclusive),Multicolor","($) Toys & Games","($) Amazon","1","AMZ","35.99","17.84","21,874","787,245.26","83","4.5","7,721","1519","18.0x18.0x4.0","4.4","Small Oversize","6","08/01/2018",,
