ASIN,Brand,Title,Category,BuyBox,#,Fulfillment ,Price,FBA fee,Sales,Revenue,BSR,Rating,Review Count,Review Velocity,Dimensions,Weight,Size Tier,Images,Listing Creation Date,,
"B07HMYPRRL","($) Naviskin","($) Naviskin Women's Fleece Lined Thermal Tights Running Yoga Leggings Winter Outdoor Pants Zip Pocket","($) Sports & Outdoors","($) Naviskin","1","FBA","25.99","10.05","305","7,926.95","10,287","4","224","10","6.4x9.7x1.2","1.2","Large Standard-Size","6","09/25/2018",,
"B07KV3Q5PH","($) JOLGOO","($) Baby Head Shaping Pillow, Baby Flat Head Pillow for Newborns, Baby Pillows for Newborn Sleeping, Made with Breathable Cotton, Ergonomic Design, Environmental Protection","($) Baby","($) DZGBHSDGF","2","FBA","19.49","6.00","345","6,724.05","5,768","4.5","536","102","8.5x8.7x1.4","0.4","Large Standard-Size","7","n/a",,
"B07TRV1TKR","Visit Amazon's Stuart Woods Page","Hit List (A Stone Barrington Novel Book 53)","Kindle Store","N/A","n/a","N/A","14.99","0.00",,,"10,653","4.5","1,039","0","n/a","n/a","n/a","1","n/a",,
"B07TBYPDFP","Visit Amazon's C. J. Box Page","Long Range (A Joe Pickett Novel Book 20)","Kindle Store","N/A","n/a","N/A","11.99","0.00",,,"3,480","5","2,163","0","n/a","n/a","n/a",,"n/a",,
"B07TYBQJBM","Visit Amazon's Harlan Coben Page","The Boy from the Woods","Kindle Store","N/A","n/a","N/A","12.99","0.00",,,"884","4.5","3,820","0","n/a","n/a","n/a","1","n/a",,
"038549565X","Visit Amazon's Hampton Sides Page","Ghost Soldiers: The Epic Account of World War II's Greatest Rescue Mission","Books","Amazon","40","AMZ","10.89","6.91","582","6,337.98","4,963","4.5","2,203","62","5.2x7.9x0.9","0.8","Large Standard-Size","3","n/a",,
"B072F3MYRH","Visit Amazon's James Patterson Page","The President Is Missing: A Novel","Kindle Store","N/A","1","N/A","12.99","0.00",,,"11,163","4.5","10,246","0","n/a","n/a","n/a","1","n/a",,
"B07CWXXMZB","Linenspa","Linenspa All-Season Reversible Down Alternative Quilted Oversized Queen Comforter - Hypoallergenic - Plush Microfiber Fill - Machine Washable - Duvet Insert or Stand-Alone Comforter - Cloudy Sky Blue","Home & Kitchen","Amazon","2","AMZ","69.99","29.02","41,178","2,882,048.22","68","4.5","46,781","7154","20.7x23.2x8.0","9.4","Small Oversize","7","n/a",,
"B07XVXYYW8","Gildan","Gildan Men's Regular Leg Boxer Brief Multipack","Clothing, Shoes & Jewelry","Amazon","1","AMZ","15.99","8.00","5,731","91,638.69","81","4.5","24,325","5361","6.1x11.4x2.3","0.8","Large Standard-Size","6","03/25/2019",,
"B077ZTJWVT","Amplim","Amplim Non-Contact Touchless Infrared Digital Forehead Thermometer for Adults and Baby Hospital Medical Grade No Touch","Baby","Amplim","2","FBA","34.98","7.00","4,257","148,909.86","467","4.5","1,538","465","2.7x8.1x1.8","0.35","Large Standard-Size","9","01/24/2018",,
"B08BZSPKSN","($) Xtansuo","($) Women’s Cargo Hiking Pants Lightweight Water Resistant Drawstring Outdoor Performance UPF 50+ Athletic Joggers Zipper Pockets","($) Sports & Outdoors","($) Xtansuo Sports & Outdoor","n/a","N/A","28.99","0.00",,,"18,882","5","1","n/a","n/a",,"n/a",,"08/25/2020",,
"B08B5TH6RM","($) HISKYWIN","($) HISKYWIN Inner Pocket Yoga Pants 4 Way Stretch Tummy Control Workout Running Pants, Long Bootleg Flare Pants","($) Sports & Outdoors","($) HISKYWIN","1","FBA","20.96","7.00","5,700","119,472.00","436","4.5","4,765","884","8.2x8.7x1.5","0.7","Large Standard-Size","6","08/20/2018",,
"1504038673","Visit Amazon's J. B. West Page","Upstairs at the White House: My Life with the First Ladies","Books","Amazon","28","AMZ","11.89","8.48","561","6,670.29","8,199","4.5","5,111","165","5.4x8.0x1.0","0.95","Large Standard-Size","1","n/a",,
"B07YSNB24G","Visit Amazon's Michael Connelly Page","Fair Warning (Jack McEvoy Book 3)","Kindle Store","N/A","n/a","N/A","14.99","0.00",,,"784","4.5","4,995","0","n/a","n/a","n/a","1","n/a",,
"B07RYHN3BB","Visit Amazon's Mark Greaney Page","One Minute Out (Gray Man Book 9)","Kindle Store","N/A","n/a","N/A","11.99","0.00",,,"4,022","4.5","1,226","0","n/a","n/a","n/a","1","n/a",,
"1503904598","Visit Amazon's Amy Harmon Page","What the Wind Knows","Books","Amazon","27","AMZ","6.99","8.74","708","4,948.92","3,653","4.5","8,113","587","5.5x8.2x1.1","0.89","Large Standard-Size","2","n/a",,
"B08HCF59SJ","ZJSJRJ","ZJSJRJ Three Pack,Kitten Toys,cat Toy,cat Toys for Indoor Cats, Interactive red Green Purple Toys for Cats Dogs, Puppy Trainning Exercise Tool for Indoor and Outdoor","Pet Supplies","nundgbhv","2","FBA","19.99","6.00","24","479.76","17,022","5","2","-1","4.7x7.1x1.4","0.06","Large Standard-Size","7","09/02/2020",,
"0345535529","Visit Amazon's George R. R. Martin Page","A Game of Thrones / A Clash of Kings / A Storm of Swords / A Feast of Crows / A Dance with Dragons","Books","Amazon","45","AMZ","30.13","12.00","1,045","31,485.85","1,604","4.5","19,834","1224","6.7x8.3x4.1","5.05","Large Standard-Size","8","n/a",,
"B00O92WHX8","Robert Dugoni","My Sister's Grave: Tracy Crosswhite, Book 1","Unknown","N/A","1","N/A","25.99","0.00",,,"434","4.5","18,512","116","n/a","n/a","n/a","1","n/a",,
"B07NSJZWY5","Ann Patchett","The Dutch House: A Novel","Unknown","N/A","n/a","N/A","26.94","0.00",,,"84","4.5","8,560","1850","n/a","n/a","n/a","1","n/a",,
"B07W5YHZ8G","($) Silinggy","($) Liangxing Mesh Yoga Pants for Women Gym Workout Running Leggings with Side Pocket","($) Sports & Outdoors","($) Rapid printing","n/a","N/A","18.00","0.00",,,"528,024","3.5","7","n/a","n/a",,"n/a",,"08/07/2019",,
"B0859WYG2L","($) PHISOCKAT","($) PHISOCKAT Women's Yoga Pants with Pockets, High Waist Tummy Control Leggings, Workout 4 Way Stretch Capris Yoga Leggings","($) Sports & Outdoors","($) PHISOCKAT YOGA","1","FBA","19.98","7.00","2,024","40,439.52","3,786","4.5","1,390","308","8.3x13.7x2.3","0.5","Large Standard-Size","5","02/28/2020",,
"B08BZS4P9Y","($) Xtansuo","($) Women’s Cargo Hiking Pants Lightweight Water Resistant Drawstring Outdoor Performance UPF 50+ Athletic Joggers Zipper Pockets","($) Sports & Outdoors","($) Xtansuo Sports & Outdoor","1","FBA","28.99","8.00","135","3,913.65","18,882","5","1","0","10.0x11.6x1.4","0.02","Large Standard-Size","7","08/25/2020",,
"B07XDNWQHJ","($) Kyopp","($) Kyopp Women's 25' / 28' High Waist Yoga Pants Tummy Control Workout Running 4 Way Stretch Yoga Leggings","($) Sports & Outdoors","($) TANGQIUS","1","FBA","19.88","7.00","157","3,121.16","22,020","4.5","554","19","8.0x10.6x1.5","0.5","Large Standard-Size","6","01/17/2020",,
"1682815781","Visit Amazon's Tracy Wolff Page","Crush (Crave, 2)","Books","Amazon","1","AMZ","15.19","9.50","877","13,321.63","282","5","6","0","6.2x8.4x2.2","1.64","Large Standard-Size","1","n/a",,
"B07WC9N8GB","SZLTZK","SZLTZK Dinosaur 3D Illusion Lamp for Boy Dinosaur Lamp 16 Colors with Remote Control Smart Touch Night Light Best Christmas Birthday Gift for Boy Girl Kids Age 5 4 3 1 6 2 7 8 9 10 11 Years Old","Baby","XTWW","1","FBA","15.99","5.99","362","5,788.38","4,147","4.5","130","29","7.5x8.0x2.0","0.5","Large Standard-Size","6","n/a",,
"0345535529","Visit Amazon's George R. R. Martin Page","A Game of Thrones / A Clash of Kings / A Storm of Swords / A Feast of Crows / A Dance with Dragons","Books","Amazon","45","AMZ","30.13","12.00","1,045","31,485.85","1,604","4.5","19,834","1224","6.7x8.3x4.1","5.05","Large Standard-Size","8","n/a",,
"B00O92WHX8","Robert Dugoni","My Sister's Grave: Tracy Crosswhite, Book 1","Unknown","N/A","1","N/A","25.99","0.00",,,"434","4.5","18,512","116","n/a","n/a","n/a","1","n/a",,
"B07NSJZWY5","Ann Patchett","The Dutch House: A Novel","Unknown","N/A","n/a","N/A","26.94","0.00",,,"84","4.5","8,560","1850","n/a","n/a","n/a","1","n/a",,
"B07T8C3RT3","Diane Chamberlain","Big Lies in a Small Town: A Novel","Unknown","N/A","n/a","N/A","27.55","0.00",,,"936","4.5","1,374","269","n/a","n/a","n/a","1","n/a",,
"B072TN1NF2","Visit Amazon's Charles Martin Page","Send Down the Rain: New from the author of The Mountains Between Us and the New York Times bestseller Where the River Ends","Kindle Store","N/A","1","N/A","9.99","0.00",,,"18,309","4.5","1,024","0","n/a","n/a","n/a","1","n/a",,
"B07T8S5QL4","Visit Amazon's Chris Bohjalian Page","The Red Lotus: A Novel","Kindle Store","N/A","n/a","N/A","13.99","0.00",,,"12,841","4.5","586","0","n/a","n/a","n/a",,"n/a",,
"B07SZ9LM1C","($) BabyBrite","($) Baby Car Mirror with Light (for Driving at Night) & FOB Control | Improved Longer Lasting Battery Life | Backseat Rear View Baby Mirror by Baby Bright | Shatter-Proof, Fully Assembled","($) Baby","($) JHS ENTERPRISES","1","FBA","24.99","9.17","144","3,598.56","13,206","3.5","326","65","9.5x11.5x3.4","1.3","Large Standard-Size","6","n/a",,
"B081KHK72J","($) N/A","($) St. Tropez Self Tan Purity Bronzing Water Face Mist, 2.7 Fl Oz","($) Beauty & Personal Care","($) Amazon","1","AMZ","25.50","7.00","1,536","39,168.00","4,170","4.5","1,161","119","1.4x5.6x1.4","0.3","Large Standard-Size","6","n/a",,
"B07PZCQLJY","Selieve","Selieve Toys for 3-12 Year Old Boys, Walkie Talkies for Kids 22 Channels 2 Way Radio Toy with Backlit LCD Flashlight, 3 Miles Range for Outside, Camping, Hiking","Toys & Games","Henoda","3","FBA","23.99","6.00","22,438","538,287.62","102","4.5","3,801","996","3.0x5.9x2.4","0.31","Large Standard-Size","6","n/a",,
"B07QGR5S23","Visit Amazon's Pamela M. Kelley Page","The Nantucket Inn (Nantucket Beach Plum Cove series Book 1)","Kindle Store","N/A","n/a","N/A","3.99","0.00",,,"1,096","4.5","3,162","0","n/a","n/a","n/a","1","n/a",,
"B08JWPGPCR","simoo ART","The Comfort Food Cookbook: Cozy Recipes Free of Gluten and Refined Sugar: A Gluten Free Cookbook","Books","N/A","n/a","N/A",,"0.00",,,"173,347","0","0","n/a","n/a",,"n/a",,"n/a",,
"B07ZV1BCC4","Visit Amazon's Natalie Barelli Page","The Housekeeper: A twisted psychological thriller","Kindle Store","N/A","n/a","N/A","3.99","0.00",,,"1,231","4.5","2,589","0","n/a","n/a","n/a",,"n/a",,
"B00N56U4WU","Amazon Renewed","SanDisk Clip Sport 8GB MP3 Player with LCD Screen and MicroSDHC Card Slot- Black - SDMX24-008G-G46K (Renewed)","Electronics","i-Tech Mall","1","FBA","31.99","5.00","62","1,983.38","39,840","3.5","392","2","3.0x5.6x2.1","0.25","Large Standard-Size","1","08/29/2014",,
"B083B119VV","Move2Play","Move2Play Motown Magic Bluetooth Karaoke Microphone, Pink, for Girls, for 4 5 6 7 8 Year Old Girls, Pink Mic","Unknown","Move2Play","1","FBA","29.99","9.00",,,"357","4.5","1,178","0","3.7x10.2x3.5","0.97","Large Standard-Size","6","02/20/2020",,
"B07RTTDCBR","Visit Amazon's Lisa Gardner Page","When You See Me: A Novel (D.D. Warren Book 11)","Kindle Store","N/A","n/a","N/A","11.99","0.00",,,"12,123","4.5","1,391","0","n/a","n/a","n/a",,"n/a",,
"B085CD34JN","($) Neleus","($) Neleus Women's Yoga Pant Running Workout Leggings with Pocket Tummy Control High Waist","($) Sports & Outdoors","($) Neleus","1","FBA","26.89","10.52","1,799","48,375.11","2,133","4.5","2,946","102","8.9x10.4x2.8","1.1","Large Standard-Size","7","11/20/2018",,
"B088FS59LH","($) BALEAF","($) BALEAF Women's High Waisted Yoga Capris w Side Pockets Cropped Leggings Workout Capris Pants","($) Sports & Outdoors","($) Baleaf Sports","1","FBA","20.99","7.00","746","15,658.54","5,531","4.5","474","172","7.6x8.9x1.5","0.54","Large Standard-Size","6","06/25/2020",,
