ASIN,Brand,Title,Category,BuyBox,#,Fulfillment ,Price,FBA fee,Sales,Revenue,BSR,Rating,Review Count,Review Velocity,Dimensions,Weight,Size Tier,Images,Listing Creation Date,,
"B01C8YRCYC","($) Beco Baby Carrier","($) Beco Gemini Baby Carrier - Cool Mesh Navy, Sleek and Simple 5-in-1 All Position Backpack Style Sling for Holding Babies, Infants and Child from 7-35 lbs Certified Ergonomic","($) Baby","($) Boba Inc. (USA)","1","FBA","78.82","17.00","448","35,311.36","4,021","4.5","791","109","9.1x13.2x3.8","1.6","Large Standard-Size","9","n/a",,
"B073SK41K4","($) Oliver and Olivia Apparel","($) Oliver and Olivia Apparel 2nd Birthday Shirt, 2T, Heather Gray","($) Clothing, Shoes & Jewelry","($) Oliver and Olivia Apparel","1","FBA","14.98","6.00","680","10,186.40","12,412","4.5","198","21","3.9x6.1x0.8","0.1","Large Standard-Size","2","n/a",,
"1786814951","Visit Amazon's Colleen Coleman Page","For Once in My Life: An absolutely perfect laugh out loud romantic comedy","Books","Amazon","14","AMZ","9.99","5.93","171","1,708.29","54,427","4","415","16","5.0x7.7x0.6","0.66","Small Standard-Size","2","n/a",,
"B01MZ14LJV","Kitchen Gizmo","Kitchen Gizmo Snap N Strain Strainer - Gray | Patented Clip On Silicone Colander | Fits all Pots and Bowls","Kitchen & Dining","Home N' Goods","2","FBA","16.99","7.02","8,904","151,278.96","533","4.5","1,217","239","4.6x9.2x2.9","0.5","Large Standard-Size","5","12/18/2016",,
"1797209469","Visit Amazon's John Lithgow Page","Trumpty Dumpty Wanted a Crown: Verses for a Despotic Age","Books","Amazon","1","AMZ","20.66","7.00","1,300","26,858.00","220","0","0","0","6.3x8.3x0.7","0.68","Small Standard-Size","4","n/a",,
"B07B89ZBZC","Visit Amazon's David Baldacci Page","Long Road to Mercy (An Atlee Pine Thriller Book 1)","Kindle Store","N/A","1","N/A","9.99","0.00",,,"1,667","4.5","5,194","0","n/a","n/a","n/a","1","n/a",,
"B01K1JVZOE","Kasa Smart","Kasa Smart Plug by TP-Link, Smart Home WiFi Outlet works with Alexa, Echo,Google Home & IFTTT,No Hub Required, Remote Control, 15 Amp, UL certified, 1-Pack (HS105)","Tools & Home Improvement","USA Supply Source","25","FBA","14.99","5.00","1,164","17,448.36","3,011","4.5","10,472","1425","3.6x5.7x3.5","0.45","Large Standard-Size","9","08/09/2016",,
"B07MNHHXNC","Bali","Bali Women's One Smooth U Ultra Light Illusion Neckline Underwire Bra","Clothing, Shoes & Jewelry","Amazon","7","AMZ","18.95","6.00","4,872","92,324.40","803","4.5","6,565","1284","5.7x6.8x1.6","0.2","Large Standard-Size","4","08/08/2005",,
"B083HLD5FT","Visit Amazon's Marian Keyes Page","Grown Ups","Kindle Store","N/A","n/a","N/A","12.99","0.00",,,"11,702","4.5","2,166","0","n/a","n/a","n/a","1","n/a",,
"B089DGZ7YD","Venture Pal","Venture Pal Large Half Gallon/64oz Motivational Water Bottle with Time Marker & Straw,Leakproof Tritan BPA Free Water Jug,Ensure You Drink Enough Water Daily for Fitness,Gym and Outdoor Sports","Sports & Outdoors","CXCM Direct","1","FBA","13.59","5.00","2,736","37,182.24","349","5","601","345","6.4x10.3x6.1","0.65","Large Standard-Size","7","07/04/2020",,
"B07KFJRT47","($) Alex & Kate","($) Lulla Bear Shusher by Alex & Kate - Mom’s Heartbeat Sound, White Noise, and Lullabies - Portable Toddler Sleep Aid Toy, Baby Sleep Soothing Sounds for Newborn Crib to Comfort, Gender Neutral","($) Baby","($) Alex & Kate","1","FBA","39.00","11.65","275","10,725.00","6,163","4.5","215","26","7.3x11.0x5.4","1.2","Large Standard-Size","9","n/a",,
"B07HMT1M6M","($) nononfish","($) Baby Knee Pads for Crawling for Boy Girls Anti Slip Leg Warmers Kids Kneepads and Elbow Pads 6 Pair","($) Baby","($) zwjdavid","1","FBA","7.67","3.00","69","529.23","19,076","4","118","33","8.9x9.8x0.6","0.3","Small Standard-Size","8","n/a",,
"197869170X","Visit Amazon's Robert T. Kiyosaki Page","Rich Dad Poor Dad: 20th Anniversary Edition: What the Rich Teach Their Kids About Money That the Poor and Middle Class Do Not!","Unknown","Amazon","2","AMZ","54.97","13.00",,,,"4.5","31,422","2487","5.5x6.5x1.0","0.47","Large Standard-Size","1","n/a",,
