ASIN,Brand,Title,Category,BuyBox,#,Fulfillment ,Price,FBA fee,Sales,Revenue,BSR,Rating,Review Count,Review Velocity,Dimensions,Weight,Size Tier,Images,Listing Creation Date,,
"B001KYT6CS","($) sodastream","($) SodaStream Jet Sparkling Water Maker, Kit w/60l Cylinder, Silver","($) Kitchen & Dining","($) Amazon","1","AMZ","79.99","19.00","2,385","190,776.15","1,476","4","2,394","260","8.0x17.0x7.8","6.5","Large Standard-Size","7","05/05/2003",,
"B072JVCJ5D","($) Amplim","($) Amplim Hospital Medical Grade No Touch Non Contact Digital Infrared Temporal Forehead Thermometer for Adult/Baby/Kid/Toddler/Infant/ Nurse. Best for Head Fever Temperatures Termometro - Blue","($) Baby","($) Amplim","1","FBA","39.99","8.00","1,099","43,949.01","1,881","4.5","432","87","3.4x7.9x2.5","0.6","Large Standard-Size","9","06/26/2017",,
"1786818248","Visit Amazon's M.M. Chouinard Page","The Dancing Girls: An absolutely gripping crime thriller with nail-biting suspense (Detective Jo Fournier)","Books","Amazon","14","AMZ","9.89","6.00","2,633","26,040.37","1,161","4","4,500","1275","5.0x7.7x1.2","0.65","Large Standard-Size","2","n/a",,
"B07CM81WW2","IUGA","IUGA High Waist Yoga Pants with Pockets, Tummy Control, Workout Pants for Women 4 Way Stretch Yoga Leggings with Pockets","Sports & Outdoors","iuga","1","FBA","22.95","9.00","16,297","374,016.15","19","4.5","24,476","3886","7.1x12.4x0.6","0.8","Large Standard-Size","6","01/25/2018",,
"1501154656","Visit Amazon's Lisa Jewell Page","Then She Was Gone: A Novel","Books","Amazon","47","AMZ","8.64","8.00","7,031","60,747.84","100","4.5","13,438","3223","5.5x8.2x1.2","0.85","Large Standard-Size","2","n/a",,
"B07QQLCZY1","Visit Amazon's Jeanine Cummins Page","American Dirt (Oprah's Book Club): A Novel","Kindle Store","N/A","n/a","N/A","14.99","0.00",,,"113","4.5","15,172","0","n/a","n/a","n/a","1","n/a",,
"B07YFS9ZJB","($) F40C4TMP","($) Insulated Lunch Box for Men, 18 cans Large Leakproof Freezable Big Lunch Cooler Tote, Portable Lunch Bag Adult Kids with Shoulder Strap and Side Pocket for Work, Picnic, School, Sport, Office - Black","($) Kitchen & Dining","($) F40C4TMP","1","FBA","26.17","9.35","457","11,959.69","3,648","4.5","829","103","9.1x11.8x3.2","0.8","Large Standard-Size","8","09/27/2019",,
"0547577311","Visit Amazon's Linda Sue Park Page","A Long Walk to Water: Based on a True Story","Books","Amazon","52","AMZ","7.64","5.00","4,356","33,279.84","206","5","5,479","837","5.2x7.7x0.4","0.3","Small Standard-Size","3","n/a",,
"B07MV8SWZF","Visit Amazon's Barbara O'Neal Page","When We Believed in Mermaids: A Novel","Kindle Store","N/A","n/a","N/A","1.99","0.00",,,"47","4.5","14,700","0","n/a","n/a","n/a",,"n/a",,
"B081Y47NRW","Visit Amazon's Ken Follett Page","The Evening and the Morning (Kingsbridge Book 4)","Kindle Store","N/A","n/a","N/A","15.99","0.00",,,"6","4.5","1,617","0","n/a","n/a","n/a","1","n/a",,
"B081Y4HFXG","Visit Amazon's John Grisham Page","Camino Winds","Kindle Store","N/A","n/a","N/A","14.99","0.00",,,"429","4.5","9,640","0","n/a","n/a","n/a",,"n/a",,
"B0849PJNX5","($) Awesome J","($) Awesome J Soft Opaque Slim Daily Yoga Pants Activewear","($) Unknown","($) Awesome J","1","FBA","12.99","6.02",,,,"4.5","72","26","7.4x11.0x1.1","0.4","Large Standard-Size","4","01/28/2020",,
"0735224315","Visit Amazon's Celeste Ng Page","Little Fires Everywhere: A Novel","Books","Amazon","55","AMZ","10.19","5.00","4,331","44,132.89","253","4.5","26,280","5106","5.0x7.6x0.7","0.5","Small Standard-Size","1","n/a",,
